Channel, Contact, Label,Voxel X,Voxel Y, Voxel Z, RAS X (mm), RAS Y, RAS Z,  MNI X(mm), MNI Y, MNI Z, Unwarped X (voxel), Unwarped Y, Unwarped Z
225,225,225. left_frontal_grid 1,171.99,183.78,119,-45.35,47.85,-3.27,-49.87,35.61,-8.88,171.08,178.06,119.3
226,226,226. left_frontal_grid 2,174.74,176.34,123.54,-48.1,40.41,1.28,-52.18,29.18,-2.78,174.21,170.67,123.94
227,227,227. left_frontal_grid 3,177.69,168.66,128.53,-51.05,32.72,6.27,-54.68,22.59,3.82,177.63,163.2,128.99
228,228,228. left_frontal_grid 4,180.45,160.28,133.88,-53.8,24.35,11.61,-56.94,15.44,10.94,180.93,155.32,134.36
229,229,229. left_frontal_grid 5,183.34,151.3,139.16,-56.7,15.36,16.9,-59.28,7.68,18.1,184.35,147.3,139.56
230,230,230. left_frontal_grid 6,185.29,141.51,143.82,-58.65,5.58,21.55,-60.58,-0.85,24.78,186.7,138.65,143.98
231,231,231. left_frontal_grid 7,186.34,131.88,147.17,-59.7,-4.06,24.91,-60.92,-9.39,30.12,187.86,129.22,147.32
232,232,232. left_frontal_grid 8,186.85,122.69,149.94,-60.21,-13.24,27.67,-60.72,-17.57,34.77,188.22,119.59,150.14
233,233,233. left_frontal_grid 9,169.17,189.17,127.74,-42.53,53.24,5.48,-47.98,42.57,-0.74,167.22,182.33,127.42
234,234,234. left_frontal_grid 10,171.47,180.75,131.81,-44.83,44.82,9.54,-49.72,35.18,5.06,169.98,174.12,131.74
235,235,235. left_frontal_grid 11,173.99,172.41,136.64,-47.35,36.48,14.37,-51.72,27.99,11.64,173.02,166.02,136.74
236,236,236. left_frontal_grid 12,176.47,163.88,141.99,-49.83,27.94,19.73,-53.69,20.71,18.8,175.98,157.92,142.14
237,237,237. left_frontal_grid 13,179.56,154.78,147.15,-52.92,18.85,24.89,-56.21,12.81,25.85,179.59,149.89,147.24
238,238,238. left_frontal_grid 14,181.29,144.9,151.7,-54.64,8.97,29.44,-57.26,4.19,32.45,181.71,141.07,151.65
239,239,239. left_frontal_grid 15,181.83,135.16,155.24,-55.19,-0.77,32.97,-57.1,-4.36,38.01,182.42,131.71,155.16
240,240,240. left_frontal_grid 16,182.13,125.88,158.24,-55.49,-10.05,35.97,-56.69,-12.56,42.92,182.64,122.19,158.19
241,241,241. left_frontal_grid 17,166.54,192.43,136.04,-39.9,56.49,13.77,-46.05,47.43,7.34,163.68,185.13,135.3
242,242,242. left_frontal_grid 18,168.09,184.16,140.08,-41.45,48.23,17.82,-47.05,40.25,13.11,165.72,177.15,139.7
243,243,243. left_frontal_grid 19,170.5,175.56,144.78,-43.86,39.63,22.52,-48.91,32.8,19.6,168.75,168.83,144.7
244,244,244. left_frontal_grid 20,173.22,166.94,150.12,-46.58,31,27.85,-51.12,25.41,26.75,171.92,160.68,150.11
245,245,245. left_frontal_grid 21,175.67,157.87,154.75,-49.03,21.93,32.49,-52.97,17.5,33.27,174.81,152.45,154.69
246,246,246. left_frontal_grid 22,176.27,147.89,159.13,-49.63,11.96,36.87,-52.88,8.87,39.75,175.73,143.34,158.97
247,247,247. left_frontal_grid 23,175.72,138.16,162.55,-49.08,2.23,40.28,-51.6,0.41,45.21,175.34,134.07,162.31
248,248,248. left_frontal_grid 24,175.19,128.62,165.43,-48.55,-7.31,43.17,-50.35,-7.97,50.08,174.83,124.59,165.15
249,249,249. left_frontal_grid 25,162.1,196.16,145.37,-35.45,60.23,23.11,-42.4,53.11,16.46,159.03,188.69,144.71
250,250,250. left_frontal_grid 26,163.15,187.46,148.73,-36.51,51.53,26.47,-42.82,45.45,21.61,160.38,180.45,148.41
251,251,251. left_frontal_grid 27,165.81,178.56,153.46,-39.17,42.62,31.2,-44.92,37.69,28.19,163.44,171.94,153.4
252,252,252. left_frontal_grid 28,168.64,169.55,158.62,-42,33.62,36.36,-47.18,29.9,35.23,166.59,163.35,158.57
253,253,253. left_frontal_grid 29,169.97,159.94,162.18,-43.33,24,39.92,-47.81,21.39,40.76,168.31,154.45,162.04
254,254,254. left_frontal_grid 30,169.46,150.76,166.35,-42.82,14.83,44.08,-46.67,13.58,46.89,168,146.01,166.06
255,255,255. left_frontal_grid 31,168.48,140.81,169.62,-41.84,4.88,47.35,-44.94,4.92,52.25,167.23,136.62,169.15
256,256,256. left_frontal_grid 32,167.5,130.97,172.42,-40.86,-4.97,50.15,-43.19,-3.72,57.11,166.35,127.02,171.81
